post_group,year,traffic,fence,eco,agri,water,1km_inner,count,avg_low_temp_springautumn,avg_low_temp_summer,avg_low_temp_winter,avg_temp_springautumn,avg_temp_summer,avg_temp_winter,avg_wind_springautumn,avg_wind_summer,avg_wind_winter,max_snow_springautumn,max_snow_summer,max_snow_winter,month_total_rain_springautumn,month_total_rain_summer,month_total_rain_winter,traffic_scaled,count_scaled,avg_low_temp_springautumn_scaled,avg_low_temp_summer_scaled,avg_low_temp_winter_scaled,avg_temp_springautumn_scaled,avg_temp_summer_scaled,avg_temp_winter_scaled,avg_wind_springautumn_scaled,avg_wind_summer_scaled,avg_wind_winter_scaled,max_snow_springautumn_scaled,max_snow_summer_scaled,max_snow_winter_scaled,month_total_rain_springautumn_scaled,month_total_rain_summer_scaled,month_total_rain_winter_scaled,rain_ratio_summer,rain_ratio_winter,env_score,snow_total,rain_total,eco_density,agri_density,risk_index
2940,2022,1531.5450268817203,1,0,1,1,0,0,5.46,19.4,-8.766666667,12.0,23.65,-2.833333333,1.16,1.025,1.2,0.0,0.0,0.0,57.67999999999999,305.775,8.6,7.666583885590114,0.0,-0.3559322033898303,-0.4324324324324325,-1.6249999997443183,-0.3684210526315798,-0.2786885245901646,-1.5641025638461536,-0.4500000000000002,-0.3529411764705885,0.0,0.0,0.0,0.0,-0.3651898734177216,0.4684263280988973,-0.8328754578296702,5.301230010188972,0.14909844849194723,3,0.0,372.055,0.0,1531.5450268817203,650.4533304423866
2930,2022,1531.5450268817203,1,0,1,1,0,0,5.46,19.4,-8.766666667,12.0,23.65,-2.833333333,1.16,1.025,1.2,0.0,0.0,0.0,57.67999999999999,305.775,8.6,7.666583885590114,0.0,-0.3559322033898303,-0.4324324324324325,-1.6249999997443183,-0.3684210526315798,-0.2786885245901646,-1.5641025638461536,-0.4500000000000002,-0.3529411764705885,0.0,0.0,0.0,0.0,-0.3651898734177216,0.4684263280988973,-0.8328754578296702,5.301230010188972,0.14909844849194723,3,0.0,372.055,0.0,1531.5450268817203,650.4533304423866
2990,2022,1531.5450268817203,1,0,1,0,0,0,5.46,19.4,-8.766666667,12.0,23.65,-2.833333333,1.16,1.025,1.2,0.0,0.0,0.0,57.67999999999999,305.775,8.6,7.666583885590114,0.0,-0.3559322033898303,-0.4324324324324325,-1.6249999997443183,-0.3684210526315798,-0.2786885245901646,-1.5641025638461536,-0.4500000000000002,-0.3529411764705885,0.0,0.0,0.0,0.0,-0.3651898734177216,0.4684263280988973,-0.8328754578296702,5.301230010188972,0.14909844849194723,2,0.0,372.055,0.0,1531.5450268817203,650.2533304423865
3040,2022,1531.5450268817203,1,0,1,0,0,0,5.46,19.4,-8.766666667,12.0,23.65,-2.833333333,1.16,1.025,1.2,0.0,0.0,0.0,57.67999999999999,305.775,8.6,7.666583885590114,0.0,-0.3559322033898303,-0.4324324324324325,-1.6249999997443183,-0.3684210526315798,-0.2786885245901646,-1.5641025638461536,-0.4500000000000002,-0.3529411764705885,0.0,0.0,0.0,0.0,-0.3651898734177216,0.4684263280988973,-0.8328754578296702,5.301230010188972,0.14909844849194723,2,0.0,372.055,0.0,1531.5450268817203,650.2533304423865
2980,2022,1531.5450268817203,1,0,1,0,0,0,5.46,19.4,-8.766666667,12.0,23.65,-2.833333333,1.16,1.025,1.2,0.0,0.0,0.0,57.67999999999999,305.775,8.6,7.666583885590114,0.0,-0.3559322033898303,-0.4324324324324325,-1.6249999997443183,-0.3684210526315798,-0.2786885245901646,-1.5641025638461536,-0.4500000000000002,-0.3529411764705885,0.0,0.0,0.0,0.0,-0.3651898734177216,0.4684263280988973,-0.8328754578296702,5.301230010188972,0.14909844849194723,2,0.0,372.055,0.0,1531.5450268817203,650.2533304423865
3000,2022,1531.5450268817203,1,0,1,0,0,0,5.46,19.4,-8.766666667,12.0,23.65,-2.833333333,1.16,1.025,1.2,0.0,0.0,0.0,57.67999999999999,305.775,8.6,7.666583885590114,0.0,-0.3559322033898303,-0.4324324324324325,-1.6249999997443183,-0.3684210526315798,-0.2786885245901646,-1.5641025638461536,-0.4500000000000002,-0.3529411764705885,0.0,0.0,0.0,0.0,-0.3651898734177216,0.4684263280988973,-0.8328754578296702,5.301230010188972,0.14909844849194723,2,0.0,372.055,0.0,1531.5450268817203,650.2533304423865
2970,2022,1531.5450268817203,1,0,1,0,0,0,5.46,19.4,-8.766666667,12.0,23.65,-2.833333333,1.16,1.025,1.2,0.0,0.0,0.0,57.67999999999999,305.775,8.6,7.666583885590114,0.0,-0.3559322033898303,-0.4324324324324325,-1.6249999997443183,-0.3684210526315798,-0.2786885245901646,-1.5641025638461536,-0.4500000000000002,-0.3529411764705885,0.0,0.0,0.0,0.0,-0.3651898734177216,0.4684263280988973,-0.8328754578296702,5.301230010188972,0.14909844849194723,2,0.0,372.055,0.0,1531.5450268817203,650.2533304423865
2960,2022,1531.5450268817203,1,0,1,0,0,0,5.46,19.4,-8.766666667,12.0,23.65,-2.833333333,1.16,1.025,1.2,0.0,0.0,0.0,57.67999999999999,305.775,8.6,7.666583885590114,0.0,-0.3559322033898303,-0.4324324324324325,-1.6249999997443183,-0.3684210526315798,-0.2786885245901646,-1.5641025638461536,-0.4500000000000002,-0.3529411764705885,0.0,0.0,0.0,0.0,-0.3651898734177216,0.4684263280988973,-0.8328754578296702,5.301230010188972,0.14909844849194723,2,0.0,372.055,0.0,1531.5450268817203,650.2533304423865
3060,2022,1531.5450268817203,1,0,1,0,0,0,5.46,19.4,-8.766666667,12.0,23.65,-2.833333333,1.16,1.025,1.2,0.0,0.0,0.0,57.67999999999999,305.775,8.6,7.666583885590114,0.0,-0.3559322033898303,-0.4324324324324325,-1.6249999997443183,-0.3684210526315798,-0.2786885245901646,-1.5641025638461536,-0.4500000000000002,-0.3529411764705885,0.0,0.0,0.0,0.0,-0.3651898734177216,0.4684263280988973,-0.8328754578296702,5.301230010188972,0.14909844849194723,2,0.0,372.055,0.0,1531.5450268817203,650.2533304423865
2910,2022,1531.5450268817203,1,0,1,0,0,0,5.46,19.4,-8.766666667,12.0,23.65,-2.833333333,1.16,1.025,1.2,0.0,0.0,0.0,57.67999999999999,305.775,8.6,7.666583885590114,0.0,-0.3559322033898303,-0.4324324324324325,-1.6249999997443183,-0.3684210526315798,-0.2786885245901646,-1.5641025638461536,-0.4500000000000002,-0.3529411764705885,0.0,0.0,0.0,0.0,-0.3651898734177216,0.4684263280988973,-0.8328754578296702,5.301230010188972,0.14909844849194723,2,0.0,372.055,0.0,1531.5450268817203,650.2533304423865
